App,as_app_id,as_title,as_store,as_genres,as_primary_genre,as_content_rating,as_size,as_required_os_version,as_released,as_updated,as_version,as_price,as_free,as_score,as_reviews,as_current_version_score,as_current_version_reviews
Period Tracker Clue: Period and Ovulation Tracker,657189652,Clue Period & Cycle Tracker,apple,"Health & Fitness, Medical",Health & Fitness,12+,452296704,17.0,2013-07-09T22:34:14Z,2025-09-17T10:06:48Z,239.0,0.0,True,4.76363,380946,4.76363,380946
WomanLog Calendar,421360650,WomanLog Calendar,apple,"Health & Fitness, Lifestyle",Health & Fitness,12+,122318848,13.0,2011-03-02T00:37:23Z,2025-09-23T04:30:24Z,7.1.0,0.0,True,4.55781,640,4.55781,640
Geocaching®,329541503,Geocaching®,apple,"Navigation, Health & Fitness",Navigation,4+,120956928,16.0,2009-09-16T21:58:04Z,2025-09-24T21:13:07Z,9.86.1,0.0,True,4.82857,61723,4.82857,61723
Map My Hike GPS Hiking,405075943,"AllTrails: Hike, Bike & Run",apple,"Health & Fitness, Travel",Health & Fitness,4+,221268992,16.0,2010-12-17T23:35:17Z,2025-09-25T18:33:58Z,25.9.41,0.0,True,4.89085,1015154,4.89085,1015154
"ViewRanger - Hike, Ride or Walk",405075943,"AllTrails: Hike, Bike & Run",apple,"Health & Fitness, Travel",Health & Fitness,4+,221268992,16.0,2010-12-17T23:35:17Z,2025-09-25T18:33:58Z,25.9.41,0.0,True,4.89085,1015154,4.89085,1015154
Runtastic Mountain Bike GPS Tracker,987986743,Trailforks: Offline Bike Maps,apple,"Navigation, Health & Fitness",Navigation,4+,425719808,15.0,2015-07-31T18:02:27Z,2025-09-12T05:30:28Z,2025.5.1,0.0,True,4.7405,15280,4.7405,15280
"AllTrails: Hiking, Running & Mountain Bike Trails",405075943,"AllTrails: Hike, Bike & Run",apple,"Health & Fitness, Travel",Health & Fitness,4+,221268992,16.0,2010-12-17T23:35:17Z,2025-09-25T18:33:58Z,25.9.41,0.0,True,4.89085,1015154,4.89085,1015154
Water Drink Reminder,1221965482,Water Reminder - Daily Tracker,apple,Health & Fitness,Health & Fitness,4+,141162496,12.0,2017-04-17T19:28:50Z,2025-03-14T05:32:59Z,1.9.29,0.0,True,4.73487,71783,4.73487,71783
"Zombies, Run! 5k Training (Free)",566596422,"Zombies, Run! 5k Training",apple,"Health & Fitness, Sports, Adventure, Games",Health & Fitness,12+,241288192,15.0,2012-10-12T10:29:23Z,2024-05-29T17:22:54Z,2.6.7,0.0,True,4.81412,2932,4.81412,2932
Tracks,425589565,GPS Tracks,apple,"Navigation, Health & Fitness",Navigation,4+,82361344,15.4,2011-05-26T01:05:39Z,2025-09-05T21:46:02Z,4.9.7,0.0,True,4.71434,16124,4.71434,16124
"YAZIO Calorie Counter, Nutrition Diary & Diet Plan",946099227,YAZIO: AI Calorie Tracker,apple,Health & Fitness,Health & Fitness,4+,329020416,16.0,2015-01-06T10:48:27Z,2025-09-24T08:02:26Z,12.51.1,0.0,True,4.70138,41688,4.70138,41688
"Technutri - calorie counter, diet and carb tracker",946099227,YAZIO: AI Calorie Tracker,apple,Health & Fitness,Health & Fitness,4+,329020416,16.0,2015-01-06T10:48:27Z,2025-09-24T08:02:26Z,12.51.1,0.0,True,4.70138,41688,4.70138,41688
Couch to 5K by RunDouble,448474423,Couch to 5K® - Run training,apple,Health & Fitness,Health & Fitness,4+,147496960,13.0,2011-08-10T18:57:15Z,2025-07-03T01:59:34Z,4.8.4,4.99,False,4.61784,4642,4.61784,4642
Fooducate Healthy Weight Loss & Calorie Counter,398436747,Fooducate: Nutrition Coach,apple,"Health & Fitness, Food & Drink",Health & Fitness,4+,239410176,13.0,2010-11-04T01:40:59Z,2025-09-22T02:59:16Z,7.23,0.0,True,4.64821,77179,4.64821,77179
My Diet Coach - Weight Loss Motivation & Tracker,634598719,"Noom Weight Loss, Food Tracker",apple,"Health & Fitness, Lifestyle",Health & Fitness,17+,448276480,16.0,2013-05-09T07:00:00Z,2025-09-25T11:13:30Z,13.36.0,0.0,True,4.69573,849183,4.69573,849183
Lose It! - Calorie Counter,297368629,Lose It! – Calorie Counter,apple,"Health & Fitness, Lifestyle",Health & Fitness,4+,263243776,16.0,2008-11-21T22:54:04Z,2025-09-24T13:43:20Z,17.5.300,0.0,True,4.76328,709894,4.76328,709894
Calorie Counter - MyNetDiary,287529757,Calorie Counter - MyNetDiary,apple,"Health & Fitness, Lifestyle",Health & Fitness,12+,371200000,17.0,2019-02-03T08:00:00Z,2025-09-22T18:59:40Z,9.82,0.0,True,4.81993,122197,4.81993,122197
10 Best Foods for You,1573365443,Best Foods for You,apple,"Health & Fitness, Lifestyle",Health & Fitness,4+,43210752,12.1,2021-07-10T07:00:00Z,2021-07-10T18:56:27Z,1.0,0.0,True,0.0,0,0.0,0
MyPlate Calorie Tracker,341232718,MyFitnessPal: Calorie Counter,apple,"Health & Fitness, Food & Drink",Health & Fitness,17+,255612928,17.0,2009-12-08T02:04:45Z,2025-09-23T19:36:11Z,25.38.0,0.0,True,4.70857,2122160,4.70857,2122160
My Diet Diary Calorie Counter,287529757,Calorie Counter - MyNetDiary,apple,"Health & Fitness, Lifestyle",Health & Fitness,12+,371200000,17.0,2019-02-03T08:00:00Z,2025-09-22T18:59:40Z,9.82,0.0,True,4.81993,122197,4.81993,122197
Calorie Counter - Macros,287529757,Calorie Counter - MyNetDiary,apple,"Health & Fitness, Lifestyle",Health & Fitness,12+,371200000,17.0,2019-02-03T08:00:00Z,2025-09-22T18:59:40Z,9.82,0.0,True,4.81993,122197,4.81993,122197
Calorie Counter by FatSecret,347184248,Calorie Counter by fatsecret,apple,"Health & Fitness, Food & Drink",Health & Fitness,4+,140961792,15.0,2009-12-23T07:43:00Z,2025-09-11T02:12:59Z,10.1,0.0,True,4.76421,13105,4.76421,13105
Weight Loss Tracker - RecStyle,532430574,Happy Scale,apple,"Health & Fitness, Medical",Health & Fitness,4+,62025728,16.0,2012-07-14T15:28:36Z,2025-09-24T01:26:18Z,2025.14.1,0.0,True,4.88858,55656,4.88858,55656
Lark - 24/7 Health Coach,912530754,Lark Health,apple,"Health & Fitness, Lifestyle",Health & Fitness,4+,65167360,13.4,2014-09-29T23:07:58Z,2025-09-16T21:06:33Z,6.2.9,0.0,True,4.31984,7582,4.31984,7582
MealLogger-Photo Food Journal,1544461026,HitMeal Calorie & Food Tracker,apple,"Health & Fitness, Food & Drink",Health & Fitness,4+,102572032,17.0,2021-02-24T08:00:00Z,2025-07-08T12:30:31Z,1.44,0.0,True,4.6597,44896,4.6597,44896
Health and Nutrition Guide,398436747,Fooducate: Nutrition Coach,apple,"Health & Fitness, Food & Drink",Health & Fitness,4+,239410176,13.0,2010-11-04T01:40:59Z,2025-09-22T02:59:16Z,7.23,0.0,True,4.64821,77179,4.64821,77179
Calorie Counter & Diet Tracker,1437820611,Carbon - Macro Coach & Tracker,apple,"Health & Fitness, Lifestyle",Health & Fitness,4+,114397184,13.4,2020-04-21T07:00:00Z,2025-09-22T14:09:23Z,2.73.4457,0.0,True,4.82706,7523,4.82706,7523
Food Calorie Calculator,6752373532,AI Calorie Tracker: MyFitCal,apple,"Health & Fitness, Food & Drink",Health & Fitness,4+,39131136,15.0,2025-09-25T07:00:00Z,2025-09-25T14:28:17Z,1.0,0.0,True,0.0,0,0.0,0
Monitor Your Weight,413313086,Monitor Your Weight,apple,"Health & Fitness, Lifestyle",Health & Fitness,4+,20924416,13.0,2011-01-08T00:16:50Z,2024-11-02T19:10:46Z,6.1.00,0.0,True,4.83324,22579,4.83324,22579
Eat Fit - Diet and Health Free,866617777,8fit Workouts & Meal Planner,apple,"Health & Fitness, Food & Drink",Health & Fitness,4+,99698688,11.0,2014-05-06T11:31:47Z,2023-06-28T07:24:04Z,23.02.0,0.0,True,4.69806,82129,4.69806,82129
Self Healing,1372575227,Gratitude: Self-Care Journal,apple,"Health & Fitness, Lifestyle",Health & Fitness,4+,67309568,17.6,2018-04-22T19:24:31Z,2025-09-23T02:25:14Z,5.0.1,0.0,True,4.88361,44037,4.88361,44037
Happify,730601963,Happify: for Stress & Worry,apple,"Health & Fitness, Lifestyle",Health & Fitness,4+,121863168,12.0,2013-11-08T02:38:36Z,2024-06-28T13:37:52Z,2.11.9,0.0,True,4.5066,4700,4.5066,4700
Binaural Beats Therapy,450655712,Brainwaves -- Binaural Beats,apple,Productivity,Productivity,4+,498772992,13.0,2011-08-23T03:12:30Z,2025-09-25T04:23:45Z,6.0.32,0.0,True,4.36329,2926,4.36329,2926
Pacifica - Stress & Anxiety,1247855111,Unwinding Anxiety,apple,"Health & Fitness, Education",Health & Fitness,12+,117328896,13.0,2017-09-23T17:42:28Z,2025-07-01T07:48:19Z,6.23.0,0.0,True,4.83523,4655,4.83523,4655
Relaxing Sounds,478687481,Rain Rain Sleep Sounds,apple,"Health & Fitness, Medical",Health & Fitness,4+,105272320,12.0,2011-11-12T04:07:24Z,2025-01-22T16:58:20Z,6.9.10,0.0,True,4.84645,130449,4.84645,130449
White Sound Pro,888963581,White Noise HQ: sound machine,apple,"Health & Fitness, Productivity",Health & Fitness,4+,73327616,15.0,2014-08-27T08:25:57Z,2025-09-02T14:44:27Z,4.6,0.0,True,4.75694,11384,4.75694,11384
Insight Timer - Free Meditation App,337472899,Insight Timer–Meditate & Sleep,apple,"Health & Fitness, Lifestyle",Health & Fitness,12+,263790592,14.0,2009-11-05T18:55:12Z,2025-09-25T15:10:58Z,19.35.0,0.0,True,4.89577,427718,4.89577,427718
Self-help Anxiety Management,493145008,Headspace: Meditation & Health,apple,"Health & Fitness, Productivity",Health & Fitness,4+,805928960,15.0,2012-02-02T18:57:49Z,2025-09-23T00:35:28Z,3.391.1,0.0,True,4.84442,973816,4.84442,973816
Brain Waves - Binaural Beats,6471041035,Moongate: Binaural Beats,apple,"Music, Lifestyle",Music,4+,97084416,16.0,2023-11-02T07:00:00Z,2025-09-12T03:39:13Z,2.23.0,0.0,True,4.68509,31679,4.68509,31679
Prana Breath: Calm & Meditate,6478402874,Prana Breath: Calm & Meditate,apple,"Health & Fitness, Lifestyle",Health & Fitness,4+,115811328,13.0,2025-07-03T07:00:00Z,2025-08-17T12:02:06Z,1.7,0.0,True,4.5,10,4.5,10
7 Cups: Anxiety & Stress Chat,921814681,7 Cups: Online Therapy & Chat,apple,"Health & Fitness, Medical",Health & Fitness,12+,40615936,15.1,2014-10-12T14:47:01Z,2025-08-21T09:12:46Z,5.72.18,0.0,True,4.42067,5553,4.42067,5553
Runtastic Sleep Better: Sleep Cycle & Smart Alarm,320606217,Sleep Cycle - Tracker & Sounds,apple,"Health & Fitness, Lifestyle",Health & Fitness,4+,415750144,15.0,2009-07-23T23:52:39Z,2025-09-22T06:52:16Z,6.25.37,0.0,True,4.64248,12755,4.64248,12755
White Noise Lite,292987597,White Noise Lite,apple,"Health & Fitness, Productivity",Health & Fitness,4+,87097344,13.0,2008-10-16T00:49:33Z,2025-06-10T18:38:18Z,8.1.2,0.0,True,4.82706,254898,4.82706,254898
"Stop, Breathe & Think: Meditation & Mindfulness",1307736395,Waking Up: Meditation & Wisdom,apple,"Health & Fitness, Education",Health & Fitness,4+,113206272,16.0,2018-09-21T15:46:51Z,2025-08-20T16:11:46Z,3.14.1,0.0,True,4.92307,41678,4.92307,41678
Zillow: Find Houses for Sale & Apartments for Rent,310738695,Zillow Real Estate & Rentals,apple,"Lifestyle, Reference",Lifestyle,4+,448800768,17.0,2009-04-29T07:00:00Z,2025-09-23T18:52:46Z,2025.37.0,0.0,True,4.80093,7187598,4.80093,7187598
"Viva Decora - Decoration, Photos, Architecture, House",1413287364,Redecor - Home Design Game,apple,"Games, Graphics & Design, Casual, Simulation",Games,12+,165728256,12.4,2020-04-10T07:00:00Z,2025-09-21T08:14:13Z,3.49.6,0.0,True,4.71889,265611,4.71889,265611
Apartments & Rentals - Zillow,319836632,Apartments.com Rental Finder,apple,"Lifestyle, Business",Lifestyle,4+,93159424,16.0,2009-06-20T18:15:22Z,2025-09-15T20:41:29Z,12.4.1,0.0,True,4.8554,441132,4.8554,441132
Realtor.com Real Estate: Homes for Sale and Rent,336698281,Realtor.com Real Estate & Rent,apple,"Lifestyle, Business",Lifestyle,4+,712128512,16.0,2010-01-11T07:06:20Z,2025-09-25T14:24:17Z,26.6.5,0.0,True,4.78012,987394,4.78012,987394
Real Estate sale & rent Trovit,288487321,Trulia Real Estate & Rentals,apple,"Lifestyle, Finance",Lifestyle,4+,114267136,17.0,2019-02-12T08:00:00Z,2025-09-02T16:29:39Z,17.4,0.0,True,4.81715,1404345,4.81715,1404345
"591 housing transactions - renting houses, middle-class houses, new cases, real-time registration, villas through the sky, apartment suites, MRT, buying a house selling prices, housing mortgages",288487321,Trulia Real Estate & Rentals,apple,"Lifestyle, Finance",Lifestyle,4+,114267136,17.0,2019-02-12T08:00:00Z,2025-09-02T16:29:39Z,17.4,0.0,True,4.81715,1404345,4.81715,1404345
"Homes.com 🏠 For Sale, Rent",388038507,Rent. Apartments and Homes,apple,"Lifestyle, Utilities",Lifestyle,4+,64102400,16.0,2010-08-26T00:36:10Z,2025-09-22T14:31:45Z,11.3.0,0.0,True,4.73254,191729,4.73254,191729
